"office","name","party","year"
"State Representative District 4","Morales","D",2008
"State Representative District 41","Gonzales","D",2008
"State Representative District 41","Villalobos","R",2008
"State Senator District 20","Hinojosa","D",2008
"State Representative District 11","Hopson","D",2008
"State Representative District 11","Walker","R",2008
"State Representative District 2","Flynn","R",2008
"State Representative District 9","Christian","R",2008
"State Representative District 9","Franks","D",2008
"State Representative District 22","Deshotel","D",2008
"State Representative District 43","Rios Ybarra","D",2008
"State Representative District 58","Kauffman","D",2008
"State Representative District 58","Orr","R",2008
"US Representative District 27","Ortiz","D",2008
"US Representative District 27","Vaden","R",2008
"State Representative District 55","Murphey","D",2008
"State Representative District 55","Sheffield","R",2008
"State Representative District 54","Aycock","R",2008
"State Representative District 20","Dillon","D",2008
"State Representative District 20","Gattis","R",2008
"State Representative District 18","Foster","D",2008
"State Representative District 18","Otto","R",2008
"State Senator District 26","Van De Putte","D",2008
"US Representative District 20","Gonzalez","D",2008
"US Representative District 20","Litoff","R",2008
"State Representative District 118","Farias","D",2008
"State Representative District 118","Green","R",2008
"State Representative District 117","Garza","R",2008
"State Representative District 117","Leibowitz","D",2008
"State Representative District 116","Martinez Fischer","D",2008
"State Representative District 121","Straus","R",2008
"State Representative District 122","Carnot","D",2008
"State Representative District 122","Corte","R",2008
"State Representative District 56","Anderson","R",2008
"State Representative District 1","Frost","D",2008
"State Representative District 1","Lavender","R",2008
"State Representative District 72","Darby","R",2008
"State Representative District 87","Swinford","R",2008
"State Representative District 71","King","R",2008
"State Representative District 34","Herrero","D",2008
"State Representative District 34","Scott","R",2008
"State Representative District 33","Ortiz","D",2008
"State Representative District 33","Torres","R",2008
"State Representative District 32","Garcia","D",2008
"State Representative District 32","Hunter","R",2008
"State Representative District 61","King","R",2008
"State Representative District 61","Randolph","D",2008
"US Representative District 12","Granger","R",2008
"US Representative District 12","Smith","D",2008
"State Representative District 25","Bonnen","R",2008
"State Representative District 12","Brookshire","R",2008
"State Representative District 12","McReynolds","D",2008
"State Representative District 14","Brown","R",2008
"State Representative District 6","Berman","R",2008
"State Representative District 90","Burnam","D",2008
"State Representative District 90","Keilberg","R",2008
"State Senator District 10","Brimer","R",2008
"State Senator District 10","Davis","D",2008
"State Representative District 97","Barrett","D",2008
"State Representative District 97","Shelton","R",2008
"State Representative District 95","Veasey","D",2008
"State Representative District 96","Turner","D",2008
"State Representative District 96","Zedler","R",2008
"State Representative District 91","Hancock","R",2008
"State Representative District 91","Utchell","D",2008
"State Representative District 92","Smith","R",2008
"State Representative District 92","Wheeler","D",2008
"State Representative District 94","Patrick","R",2008
"State Representative District 93","Burch","R",2008
"State Representative District 93","Pierson","D",2008
"State Representative District 98","Moffat","D",2008
"State Representative District 98","Truitt","R",2008
"State Representative District 99","Ford","D",2008
"State Representative District 99","Geren","R",2008
"State Representative District 46","Dukes","D",2008
"State Representative District 50","Mikus","R",2008
"State Representative District 50","Strama","D",2008
"State Representative District 51","Rodriguez","D",2008
"State Representative District 52","Daniel","R",2008
"State Representative District 52","Maldonado","D",2008
"State Representative District 48","Howard","D",2008
"State Representative District 48","Waggoner","R",2008
"State Representative District 47","Bolton","D",2008
"State Representative District 47","Keel","R",2008
"State Representative District 69","Farabee","D",2008
"State Representative District 70","Paxton","R",2008
"State Representative District 66","McCall","R",2008
"State Representative District 67","Madden","R",2008
"Agriculture Commissioner","Gilbert","D",2010
"Agriculture Commissioner","Staples","R",2010
"Attorney General","Abbott","R",2010
"Attorney General","Radnofsky","D",2010
"Court of Criminal Appeals Seat 2","Meyers","R",2010
"Court of Criminal Appeals Seat 5","Johnson","R",2010
"Court of Criminal Appeals Seat 6","Hampton","D",2010
"Court of Criminal Appeals Seat 6","Keasler","R",2010
"Comptroller","Combs","R",2010
"Governor","Perry","R",2010
"Governor","White","D",2010
"Land Commissioner","Patterson","R",2010
"Land Commissioner","Uribe","D",2010
"Lieutenant Governor","Chavez-Thompson","D",2010
"Lieutenant Governor","Dewhurst","R",2010
"Railroad Commissioner 1","Porter","R",2010
"Railroad Commissioner 1","Weems","D",2010
"State Board of Education District 9","Ratliff","R",2010
"State Representative District 8","Cook","R",2010
"State Representative District 8","Morgan","D",2010
"State Senator District 3","Nichols","R",2010
"Supreme Court Seat 3","Lehrmann","R",2010
"Supreme Court Seat 3","Sharp","D",2010
"Supreme Court Seat 5","Green","R",2010
"Supreme Court Seat 5","Moody","D",2010
"Supreme Court Seat 9","Bailey","D",2010
"Supreme Court Seat 9","Guzman","R",2010
"US Representative District 5","Berry","D",2010
"US Representative District 5","Hensarling","R",2010
"State Board of Education District 15","Craig","R",2010
"US Representative District 13","Thornberry","R",2010
"State Board of Education District 1","Garza","R",2010
"State Board of Education District 1","Nunez","D",2010
"US Representative District 11","Conaway","R",2010
"US Representative District 11","Quillian","D",2010
"State Representative District 53","Hilderbran","R",2010
"State Senator District 19","Bowen","R",2010
"State Senator District 19","Uresti","D",2010
"US Representative District 23","Canseco","R",2010
"US Representative District 23","Rodriguez","D",2010
"State Representative District 85","Heflin","D",2010
"State Representative District 85","Landtroop","R",2010
"State Representative District 74","Gallego","D",2010
"State Representative District 74","Kincaid","R",2010
"State Board of Education District 12","Clayton","R",2010
"State Representative District 102","Carter","R",2010
"State Representative District 102","Kent","D",2010
"State Representative District 114","Hartnett","R",2010
"State Representative District 114","Wellik","D",2010
"US Representative District 32","Raggio","D",2010
"US Representative District 32","Sessions","R",2010
"State Representative District 107","Sheets","R",2010
"State Representative District 107","Vaught","D",2010
"US Representative District 3","Johnson","R",2010
"US Representative District 3","Lingenfelder","D",2010
"US Representative District 30","Bernice Johnson","D",2010
"US Representative District 30","Broden","R",2010
"State Representative District 101","Burkett","R",2010
"State Representative District 101","Miklos","D",2010
"State Senator District 2","Deuell","R",2010
"State Senator District 2","Shaw","D",2010
"State Representative District 113","Dorris","D",2010
"State Representative District 113","Driver","R",2010
"State Representative District 112","Chen Button","R",2010
"State Senator District 8","Shapiro","R",2010
"State Representative District 115","Jackson","R",2010
"US Representative District 24","Marchant","R",2010
"State Representative District 108","Branch","R",2010
"State Representative District 108","Schulte","D",2010
"State Representative District 105","Haldenwang","D",2010
"State Representative District 105","Harper-Brown","R",2010
"US Representative District 26","Burgess","R",2010
"US Representative District 26","Durrance","D",2010
"State Representative District 65","Solomons","R",2010
"State Representative District 109","Giddings","D",2010
"State Representative District 106","Anderson","R",2010
"State Representative District 106","England","D",2010
"US Representative District 6","Barton","R",2010
"US Representative District 6","Cozad","D",2010
"US Representative District 4","Hall","R",2010
"US Representative District 4","Hathcox","D",2010
"US Representative District 19","Neugebauer","R",2010
"US Representative District 19","Wilson","D",2010
"State Representative District 3","Cain","R",2010
"State Representative District 3","Homer","D",2010
"State Representative District 64","Crownover","R",2010
"State Senator District 12","Nelson","R",2010
"State Board of Education District 10","Farney","R",2010
"State Board of Education District 10","Jennings","D",2010
"State Senator District 18","Hegar","R",2010
"State Senator District 18","Olney","D",2010
"US Representative District 15","Hinojosa","D",2010
"US Representative District 15","Zamora","R",2010
"State Board of Education District 3","Cunningham","R",2010
"State Board of Education District 3","Soto","D",2010
"State Representative District 35","Aliseda","R",2010
"State Representative District 35","Gonzalez Toureilles","D",2010
"US Representative District 28","Cuellar","D",2010
"US Representative District 28","Underwood","R",2010
"State Representative District 78","Margo","R",2010
"State Representative District 78","Moody","D",2010
"State Senator District 29","Chavez","R",2010
"State Senator District 29","Rodriguez","D",2010
"US Representative District 16","Besco","R",2010
"US Representative District 16","Reyes","D",2010
"State Representative District 79","Pickett","D",2010
"State Representative District 59","Miller","R",2010
"US Representative District 31","Carter","R",2010
"State Representative District 57","Beck","R",2010
"State Representative District 57","Dunnam","D",2010
"State Representative District 62","Phillips","R",2010
"State Representative District 17","Jacobs","D",2010
"State Representative District 17","Kleinschmidt","R",2010
"US Representative District 25","Campbell","R",2010
"US Representative District 25","Doggett","D",2010
"US Representative District 10","Ankrum","D",2010
"US Representative District 10","McCaul","R",2010
"State Representative District 28","Raasch","D",2010
"State Representative District 28","Zerwas","R",2010
"US Representative District 14","Paul","R",2010
"US Representative District 14","Pruett","D",2010
"US Representative District 22","Olson","R",2010
"US Representative District 22","Rogers","D",2010
"State Representative District 27","Reynolds","D",2010
"State Representative District 26","Andrews","D",2010
"State Representative District 26","Howard","R",2010
"State Representative District 132","Callegari","R",2010
"State Representative District 132","Mintz","D",2010
"State Senator District 7","Patrick","R",2010
"State Senator District 13","Ellis","D",2010
"State Senator District 13","Mauldin","R",2010
"State Senator District 17","Huffman","R",2010
"US Representative District 9","Green","D",2010
"US Representative District 9","Mueller","R",2010
"State Senator District 5","Ogden","R",2010
"State Senator District 5","Wyman","D",2010
"State Representative District 24","Taylor","R",2010
"State Representative District 23","Eiland","D",2010
"State Representative District 23","Wilson","R",2010
"State Representative District 29","Weber","R",2010
"State Board of Education District 5","Bell-Metereau","D",2010
"State Board of Education District 5","Mercer","R",2010
"State Representative District 73","Miller","R",2010
"State Representative District 7","Simpson","R",2010
"US Representative District 1","Gohmert","R",2010
"US Representative District 17","Edwards","D",2010
"US Representative District 17","Flores","R",2010
"State Senator District 25","Wentworth","R",2010
"US Representative District 21","Melnick","D",2010
"US Representative District 21","Smith","R",2010
"US Representative District 8","Brady","R",2010
"US Representative District 8","Hargett","D",2010
"State Representative District 148","Farrar","D",2010
"State Representative District 148","Herrera","R",2010
"US Representative District 18","Faulk","R",2010
"US Representative District 18","Jackson Lee","D",2010
"State Senator District 15","Walker","R",2010
"State Senator District 15","Whitmire","D",2010
"State Representative District 150","Neal","D",2010
"State Representative District 150","Riddle","R",2010
"US Representative District 2","Poe","R",2010
"State Representative District 141","Bunch","R",2010
"State Representative District 141","Thompson","D",2010
"US Representative District 7","Culberson","R",2010
"US Representative District 29","Green","D",2010
"US Representative District 29","Morales","R",2010
"State Representative District 134","Cohen","D",2010
"State Representative District 134","Davis","R",2010
"State Representative District 136","Woolley","R",2010
"State Representative District 130","Fletcher","R",2010
"State Representative District 138","Bohac","R",2010
"State Representative District 138","Camarena","D",2010
"State Representative District 143","Hernandez","D",2010
"State Representative District 143","Pena","R",2010
"State Representative District 127","Huberty","R",2010
"State Representative District 127","Montemayor","D",2010
"State Representative District 144","Legler","R",2010
"State Representative District 144","Molina","D",2010
"State Representative District 126","Harless","R",2010
"State Representative District 126","McKinney","D",2010
"State Representative District 149","O'Connor","R",2010
"State Representative District 149","Vo","D",2010
"State Representative District 133","Murphy","R",2010
"State Representative District 133","Thibaut","D",2010
"State Representative District 137","Hochberg","D",2010
"State Representative District 137","Spivey","R",2010
"State Representative District 45","Isaac","R",2010
"State Representative District 45","Rose","D",2010
"State Representative District 41","Cervera","R",2010
"State Representative District 41","Gonzales","D",2010
"State Representative District 11","Hackney","D",2010
"State Representative District 11","Hopson","R",2010
"State Representative District 9","Christian","R",2010
"State Representative District 9","Franks","D",2010
"State Representative District 43","Lozano","D",2010
"State Representative District 58","Greene","D",2010
"State Representative District 58","Orr","R",2010
"US Representative District 27","Farenthold","R",2010
"US Representative District 27","Ortiz","D",2010
"State Representative District 55","Sheffield","R",2010
"State Representative District 20","Schwertner","R",2010
"State Representative District 18","Otto","R",2010
"US Representative District 20","Gonzalez","D",2010
"US Representative District 20","Trotter","R",2010
"State Representative District 124","Menendez","D",2010
"State Representative District 119","Gutierrez","D",2010
"State Representative District 119","Holdman","R",2010
"State Representative District 117","Garza","R",2010
"State Representative District 117","Leibowitz","D",2010
"State Representative District 125","Castro","D",2010
"State Representative District 122","Ali","D",2010
"State Representative District 122","Larson","R",2010
"State Representative District 84","Frullo","R",2010
"State Representative District 84","Morgan","D",2010
"State Representative District 56","Anderson","R",2010
"State Representative District 56","Mabry","D",2010
"State Representative District 1","Frost","D",2010
"State Representative District 1","Lavender","R",2010
"State Representative District 15","Eissler","R",2010
"State Representative District 87","Bosquez","D",2010
"State Representative District 87","Price","R",2010
"State Representative District 71","King","R",2010
"State Representative District 34","Herrero","D",2010
"State Representative District 34","Scott","R",2010
"State Representative District 33","Ortiz","D",2010
"State Representative District 33","Torres","R",2010
"State Representative District 61","King","R",2010
"US Representative District 12","Granger","R",2010
"US Representative District 12","Smith","D",2010
"State Representative District 12","McReynolds","D",2010
"State Representative District 12","White","R",2010
"State Representative District 6","Berman","R",2010
"State Representative District 90","Burnam","D",2010
"State Representative District 90","Keilberg","R",2010
"State Representative District 97","Shelton","R",2010
"State Representative District 96","Turner","D",2010
"State Representative District 96","Zedler","R",2010
"State Representative District 92","Schleeter","D",2010
"State Representative District 92","Smith","R",2010
"State Representative District 94","Patrick","R",2010
"State Representative District 93","Nash","R",2010
"State Representative District 93","Pierson","D",2010
"State Representative District 46","Dukes","D",2010
"State Senator District 14","Serafine","R",2010
"State Senator District 14","Watson","D",2010
"State Representative District 50","McGuinness","R",2010
"State Representative District 50","Strama","D",2010
"State Representative District 51","Jackson","R",2010
"State Representative District 51","Rodriguez","D",2010
"State Representative District 52","Gonzales","R",2010
"State Representative District 52","Maldonado","D",2010
"State Representative District 49","Naishtat","D",2010
"State Representative District 48","Howard","D",2010
"State Representative District 48","Neil","R",2010
"State Representative District 47","Bolton","D",2010
"State Representative District 47","Workman","R",2010
"State Representative District 69","Lyne","R",2010
"State Representative District 69","Smith","D",2010
"US President","Romney","R",2012
"US President","Obama","D",2012
"US Senator","Cruz","R",2012
"US Senator","Sadler","D",2012
"US Representative District 5","Hensarling","R",2012
"US Representative District 5","Mrosko","D",2012
"Railroad Commissioner 1","Craddick","R",2012
"Railroad Commissioner 1","Henry","D",2012
"Railroad Commissioner 2","Smitherman","R",2012
"Supreme Court Seat 2","Willett","R",2012
"Supreme Court Seat 4","Devine","R",2012
"Supreme Court Seat 6","Hecht","R",2012
"Supreme Court Seat 6","Petty","D",2012
"Court of Criminal Appeals Presiding Judge","Keller","R",2012
"Court of Criminal Appeals Presiding Judge","Hampton","D",2012
"Court of Criminal Appeals Seat 7","Hervey","R",2012
"Court of Criminal Appeals Seat 8","Alcala","R",2012
"State Board of Education District 9","Ratliff","R",2012
"State Representative District 8","Cook","R",2012
"State Representative District 8","Morgan","D",2012
"US Representative District 11","Conaway","R",2012
"US Representative District 11","Riley","D",2012
"State Board of Education District 15","Rowley","R",2012
"State Board of Education District 15","Schafersman","D",2012
"US Representative District 1","Gohmert","R",2012
"US Representative District 1","McKellar","D",2012
"US Representative District 27","Farenthold","R",2012
"US Representative District 27","Harrison","D",2012
"State Board of Education District 2","Turner","R",2012
"State Board of Education District 2","Cortez","D",2012
"State Representative District 30","Hernandez","D",2012
"State Representative District 30","Morrison","R",2012
"US Representative District 13","Thornberry","R",2012
"State Senator District 30","Estes","R",2012
"State Representative District 69","Frank","R",2012
"US Representative District 28","Hayward","R",2012
"US Representative District 28","Cuellar","D",2012
"State Board of Education District 1","Garza","R",2012
"State Board of Education District 1","Dominguez","D",2012
"State Senator District 19","Berlanga","R",2012
"State Senator District 21","Rostig","R",2012
"State Senator District 19","Uresti","D",2012
"State Senator District 21","Zaffirini","D",2012
"State Representative District 31","Matthews","R",2012
"State Representative District 31","Guillen","D",2012
"US Representative District 10","McCaul","R",2012
"US Representative District 10","Walter-Cadien","D",2012
"State Board of Education District 10","Maynard","R",2012
"State Board of Education District 10","Jennings","D",2012
"US Representative District 19","Neugebauer","R",2012
"US Representative District 21","Smith","R",2012
"US Representative District 21","Duval","D",2012
"US Representative District 17","Flores","R",2012
"State Senator District 14","Watson","D",2012
"State Representative District 17","Kleinschmidt","R",2012
"State Representative District 17","Guerra","D",2012
"State Senator District 28","Duncan","R",2012
"US Representative District 34","Puente-Bradshaw","R",2012
"US Representative District 34","Vela","D",2012
"State Board of Education District 3","Williams","R",2012
"State Board of Education District 3","Perez","D",2012
"State Representative District 43","Lozano","R",2012
"State Representative District 43","Gonzalez Toureilles","D",2012
"US Representative District 31","Carter","R",2012
"US Representative District 25","Williams","R",2012
"US Representative District 31","Wyman","D",2012
"US Representative District 25","Henderson","D",2012
"State Representative District 54","Aycock","R",2012
"State Representative District 54","Brown","D",2012
"US Representative District 35","Narvaiz","R",2012
"US Representative District 23","Canseco","R",2012
"US Representative District 20","Rosa","R",2012
"US Representative District 35","Doggett","D",2012
"US Representative District 23","Gallego","D",2012
"US Representative District 20","Castro","D",2012
"State Board of Education District 5","Mercer","R",2012
"State Board of Education District 5","Bell-Metereau","D",2012
"State Senator District 26","Van De Putte","D",2012
"State Senator District 25","Campbell","R",2012
"State Senator District 25","Courage","D",2012
"State Representative District 123","Villarreal","D",2012
"State Representative District 119","Gutierrez","D",2012
"State Representative District 118","Casias","R",2012
"State Representative District 117","Cortez","D",2012
"State Representative District 125","Rodriguez","D",2012
"State Representative District 121","Straus","R",2012
"State Representative District 120","McClendon","D",2012
"State Representative District 124","Menendez","D",2012
"State Representative District 119","Campos","R",2012
"State Representative District 118","Farias","D",2012
"State Representative District 117","Garza","R",2012
"State Representative District 125","Perez Jackson","R",2012
"State Representative District 45","Isaac","R",2012
"State Representative District 45","Adams","D",2012
"State Board of Education District 14","Melton","R",2012
"State Senator District 22","Birdwell","R",2012
"US Representative District 4","Hall","R",2012
"US Representative District 4","Hathcox","D",2012
"State Senator District 1","Eltife","R",2012
"State Senator District 1","Russell","D",2012
"State Representative District 1","Lavender","R",2012
"US Representative District 14","Weber","R",2012
"US Representative District 22","Olson","R",2012
"US Representative District 14","Lampson","D",2012
"US Representative District 22","Rogers","D",2012
"State Board of Education District 7","Bradley","R",2012
"State Senator District 11","Taylor","R",2012
"State Senator District 17","Huffman","R",2012
"State Senator District 11","Acquistapace","D",2012
"State Representative District 29","Thompson","R",2012
"State Representative District 29","Blatt","D",2012
"State Board of Education District 8","Cargill","R",2012
"State Board of Education District 8","Smith","D",2012
"State Senator District 5","Schwertner","R",2012
"State Representative District 12","Kacal","R",2012
"State Representative District 14","Raney","R",2012
"State Representative District 12","Stem","D",2012
"State Representative District 14","LeUnes","D",2012
"State Representative District 74","Kincaid","R",2012
"State Representative District 74","Nevarez","D",2012
"US Representative District 15","Brueggemann","R",2012
"US Representative District 15","Hinojosa","D",2012
"State Senator District 20","Torres","R",2012
"State Senator District 20","Hinojosa","D",2012
"State Representative District 38","Lucio","D",2012
"State Representative District 38","Torres","R",2012
"State Representative District 87","Price","R",2012
"State Representative District 87","Bosquez","D",2012
"US Representative District 36","Stockman","R",2012
"US Representative District 36","Martin","D",2012
"State Senator District 4","Williams","R",2012
"State Representative District 23","Eiland","D",2012
"State Representative District 23","Faircloth","R",2012
"US Representative District 32","Sessions","R",2012
"US Representative District 32","McGovern","D",2012
"State Board of Education District 12","Miller","R",2012
"State Board of Education District 12","Parrott","D",2012
"State Senator District 8","Paxton","R",2012
"State Senator District 8","Ternan","D",2012
"State Representative District 33","Turner","R",2012
"State Representative District 73","Miller","R",2012
"State Representative District 59","Sheffield","R",2012
"State Representative District 59","Norris","D",2012
"State Senator District 29","Chavez","R",2012
"State Senator District 29","Rodriguez","D",2012
"US Representative District 30","Washington","R",2012
"US Representative District 24","Marchant","R",2012
"US Representative District 26","Burgess","R",2012
"US Representative District 33","Bradley","R",2012
"US Representative District 30","Bernice Johnson","D",2012
"US Representative District 24","Rusk","D",2012
"US Representative District 26","Sanchez","D",2012
"US Representative District 33","Veasey","D",2012
"State Board of Education District 13","Russell","R",2012
"State Board of Education District 11","Hardy","R",2012
"State Board of Education District 13","Knight","D",2012
"State Senator District 23","Lawson","R",2012
"State Senator District 9","Hancock","R",2012
"State Senator District 23","West","D",2012
"State Senator District 9","Martinez","D",2012
"State Representative District 114","Villalba","R",2012
"State Representative District 107","Sheets","R",2012
"State Representative District 109","Giddings","D",2012
"State Representative District 108","Branch","R",2012
"State Representative District 113","Burkett","R",2012
"State Representative District 102","Carter","R",2012
"State Representative District 115","Fabishak","D",2012
"State Representative District 105","Robbins","D",2012
"State Representative District 114","Kent","D",2012
"State Representative District 107","Miklos","D",2012
"State Representative District 102","Hancock","D",2012
"State Representative District 115","Ratliff","R",2012
"State Representative District 105","Harper-Brown","R",2012
"State Representative District 62","Phillips","R",2012
"State Representative District 62","Perez","D",2012
"State Senator District 12","Nelson","R",2012
"State Representative District 106","Fallon","R",2012
"State Representative District 65","Simmons","R",2012
"State Representative District 63","Parker","R",2012
"State Representative District 64","Brown","D",2012
"State Representative District 65","Brown","D",2012
"State Representative District 64","Crownover","R",2012
"US Representative District 6","Barton","R",2012
"US Representative District 6","Sanders","D",2012
"US Representative District 16","Carrasco","R",2012
"US Representative District 16","O'Rourke","D",2012
"State Representative District 78","Moody","D",2012
"State Representative District 78","Margo","R",2012
"US Representative District 9","Mueller","R",2012
"US Representative District 9","Green","D",2012
"State Board of Education District 4","Olmos","R",2012
"State Board of Education District 4","Allen","D",2012
"State Representative District 85","Stephenson","R",2012
"State Representative District 26","Miller","R",2012
"State Representative District 27","Reynolds","D",2012
"State Representative District 85","Olivo","D",2012
"State Representative District 26","Nguyen","D",2012
"State Representative District 27","Allfrey","R",2012
"State Representative District 24","Bonnen","R",2012
"State Representative District 24","Cates","D",2012
"US Representative District 8","Brady","R",2012
"US Representative District 8","Burns","D",2012
"US Representative District 18","Seibert","R",2012
"US Representative District 7","Culberson","R",2012
"US Representative District 29","Green","D",2012
"US Representative District 2","Poe","R",2012
"US Representative District 18","Jackson Lee","D",2012
"US Representative District 7","Cargas","D",2012
"US Representative District 2","Dougherty","D",2012
"State Board of Education District 6","Bahorich","R",2012
"State Board of Education District 6","Jensen","D",2012
"State Senator District 6","Bray","R",2012
"State Senator District 7","Patrick","R",2012
"State Senator District 6","Gallegos","D",2012
"State Senator District 15","Whitmire","D",2012
"State Senator District 7","Texas","D",2012
"State Senator District 15","Walker","R",2012
"State Representative District 147","Coleman","D",2012
"State Representative District 150","Riddle","R",2012
"State Representative District 141","Thompson","D",2012
"State Representative District 143","Hernandez Luna","D",2012
"State Representative District 134","Davis","R",2012
"State Representative District 130","Fletcher","R",2012
"State Representative District 135","Morgan","D",2012
"State Representative District 138","Bohac","R",2012
"State Representative District 144","Pineda","R",2012
"State Representative District 139","Brocato","R",2012
"State Representative District 127","Huberty","R",2012
"State Representative District 132","Callegari","R",2012
"State Representative District 137","Khan","R",2012
"State Representative District 149","Vo","D",2012
"State Representative District 148","Farrar","D",2012
"State Representative District 150","Neal","D",2012
"State Representative District 141","Bunch","R",2012
"State Representative District 143","Weiskopf","R",2012
"State Representative District 134","Johnson","D",2012
"State Representative District 135","Elkins","R",2012
"State Representative District 144","Perez","D",2012
"State Representative District 139","Turner","D",2012
"State Representative District 133","Murphy","R",2012
"State Representative District 127","Pogue","D",2012
"State Representative District 137","Wu","D",2012
"State Representative District 149","Williams","R",2012
"State Representative District 131","Allen","D",2012
"State Representative District 39","De Los Santos","R",2012
"State Representative District 41","Guerra","D",2012
"State Representative District 39","Martinez","D",2012
"State Representative District 41","Martinez","R",2012
"State Representative District 84","Frullo","R",2012
"State Representative District 56","Anderson","R",2012
"State Representative District 15","Toth","R",2012
"State Representative District 34","Scott","R",2012
"State Representative District 34","Herrero","D",2012
"US Representative District 12","Granger","R",2012
"US Representative District 12","Robinson","D",2012
"State Representative District 61","King","R",2012
"State Representative District 6","Schaefer","R",2012
"State Senator District 10","Shelton","R",2012
"State Senator District 10","Davis","D",2012
"State Representative District 95","Mitchell","R",2012
"State Representative District 96","Zedler","R",2012
"State Representative District 92","Stickland","R",2012
"State Representative District 101","Turner","D",2012
"State Representative District 94","Patrick","R",2012
"State Representative District 98","Capriglione","R",2012
"State Representative District 95","Collier","D",2012
"State Representative District 97","Grassia","D",2012
"State Representative District 99","McClure","D",2012
"State Representative District 93","Hardin","D",2012
"State Representative District 97","Goldman","R",2012
"State Representative District 99","Geren","R",2012
"State Representative District 93","Krause","R",2012
"State Representative District 46","Dukes","D",2012
"State Representative District 51","Rodriguez","D",2012
"State Representative District 48","Thomas","R",2012
"State Representative District 49","Naishtat","D",2012
"State Representative District 48","Howard","D",2012
"State Representative District 47","Frandsen","D",2012
"State Representative District 47","Workman","R",2012
"State Representative District 136","Dale","R",2012
"State Representative District 136","Stillwell","D",2012
"State Representative District 52","Gonzales","R",2012
"US Senator","Cornyn","R",2014
"US Senator","Alameel","D",2014
"US Representative District 5","Hensarling","R",2014
"Governor","Abbott","R",2014
"Governor","Davis","D",2014
"Lieutenant Governor","Patrick","R",2014
"Lieutenant Governor","Van De Putte","D",2014
"Attorney General","Paxton","R",2014
"Attorney General","Houston","D",2014
"Comptroller","Hegar","R",2014
"Comptroller","Collier","D",2014
"Land Commissioner","Bush","R",2014
"Land Commissioner","Cook","D",2014
"Agriculture Commissioner","Miller","R",2014
"Agriculture Commissioner","Hogan","D",2014
"Railroad Commissioner 3","Sitton","R",2014
"Railroad Commissioner 3","Brown","D",2014
"Supreme Court Chief Justice","Hecht","R",2014
"Supreme Court Chief Justice","Moody","D",2014
"Supreme Court Seat 6","Brown","R",2014
"Supreme Court Seat 6","Meyers","D",2014
"Supreme Court Seat 7","Boyd","R",2014
"Supreme Court Seat 7","Benavides","D",2014
"Supreme Court Seat 8","Johnson","R",2014
"Court of Criminal Appeals Seat 3","Richardson","R",2014
"Court of Criminal Appeals Seat 3","Granberg","D",2014
"Court of Criminal Appeals Seat 4","Yeary","R",2014
"State Senator District 3","Nichols","R",2014
"State Representative District 8","Cook","R",2014
"Court of Criminal Appeals Seat 9","Newell","R",2014
"US Representative District 11","Conaway","R",2014
"State Senator District 31","Seliger","R",2014
"State Representative District 81","Landgraf","R",2014
"US Representative District 1","Gohmert","R",2014
"US Representative District 1","McKellar","D",2014
"US Representative District 27","Farenthold","R",2014
"US Representative District 27","Reed","D",2014
"US Representative District 13","Thornberry","R",2014
"US Representative District 13","Minter","D",2014
"State Senator District 30","Estes","R",2014
"State Representative District 88","King","R",2014
"US Representative District 28","Cuellar","D",2014
"US Representative District 10","McCaul","R",2014
"US Representative District 10","Walter-Cadien","D",2014
"US Representative District 19","Neugebauer","R",2014
"US Representative District 19","Marchbanks","D",2014
"US Representative District 21","Smith","R",2014
"State Representative District 53","Murr","R",2014
"US Representative District 17","Flores","R",2014
"US Representative District 17","Haynes","D",2014
"State Senator District 14","Watson","D",2014
"State Representative District 17","Kleinschmidt","R",2014
"State Representative District 17","Banks","D",2014
"US Representative District 34","Smith","R",2014
"US Representative District 34","Vela","D",2014
"State Board of Education District 3","Mundy","R",2014
"State Board of Education District 3","Perez","D",2014
"State Representative District 43","Lozano","R",2014
"State Representative District 43","Gonzalez","D",2014
"US Representative District 31","Carter","R",2014
"US Representative District 25","Williams","R",2014
"US Representative District 31","Minor","D",2014
"US Representative District 25","Montoya","D",2014
"US Representative District 35","Narvaiz","R",2014
"US Representative District 23","Hurd","R",2014
"US Representative District 20","Castro","D",2014
"US Representative District 35","Doggett","D",2014
"US Representative District 23","Gallego","D",2014
"State Senator District 25","Campbell","R",2014
"State Senator District 25","Boone","D",2014
"State Representative District 123","Villarreal","D",2014
"State Representative District 117","Galindo","R",2014
"State Representative District 125","Rodriguez","D",2014
"State Representative District 121","Straus","R",2014
"State Representative District 120","McClendon","D",2014
"State Representative District 117","Cortez","D",2014
"State Representative District 122","Larson","R",2014
"State Representative District 45","Isaac","R",2014
"State Representative District 83","Burrows","R",2014
"State Representative District 83","Tarbox","D",2014
"State Representative District 58","Burns","R",2014
"State Representative District 58","Kauffman","D",2014
"US Representative District 14","Weber","R",2014
"US Representative District 22","Olson","R",2014
"US Representative District 14","Brown","D",2014
"US Representative District 22","Briscoe","D",2014
"State Board of Education District 7","Bradley","R",2014
"State Board of Education District 7","King","D",2014
"State Senator District 17","Huffman","R",2014
"State Senator District 17","Lucido","D",2014
"State Senator District 5","Schwertner","R",2014
"State Senator District 5","Shapiro","D",2014
"State Representative District 14","Raney","R",2014
"State Representative District 14","Metscher","D",2014
