"office","name","party","year"
"State Senator District 25","Wentworth","R",2002
"US Representative District 11","Edwards","D",2002
"US Representative District 11","Farley","R",2002
"State Representative District 19","Clayton","D",2002
"State Representative District 19","Hamilton","R",2002
"US Representative District 18","Abbott","R",2002
"US Representative District 18","Jackson Lee","D",2002
"State Senator District 15","Whitmire","D",2002
"State Senator District 15","Wolfe","R",2002
"State Representative District 134","Danburg","D",2002
"State Representative District 134","Wong","R",2002
"State Representative District 138","Bohac","R",2002
"State Representative District 138","Yarbrough","D",2002
"State Representative District 140","Bailey","D",2002
"State Representative District 140","Palasota","R",2002
"State Representative District 135","Elkins","R",2002
"State Representative District 135","Krebs","D",2002
"State Representative District 149","Heflin","R",2002
"State Representative District 149","Tran","D",2002
"State Senator District 4","Smith","D",2002
"State Senator District 4","Williams","R",2002
"State Representative District 133","Amadi","D",2002
"State Representative District 133","Nixon","R",2002
"State Representative District 137","Hochberg","D",2002
"State Representative District 137","Roberts","R",2002
"State Representative District 5","Glaze","D",2002
"State Representative District 5","Hughes","R",2002
"State Representative District 45","Green","R",2002
"State Representative District 45","Rose","D",2002
"State Representative District 4","Brown","R",2002
"State Representative District 4","Head","D",2002
"State Representative District 2","Duncan","D",2002
"State Representative District 2","Flynn","R",2002
"State Representative District 9","Christian","R",2002
"State Representative District 9","Moore","D",2002
"State Representative District 21","Kimler","R",2002
"State Representative District 21","Ritter","D",2002
"State Representative District 43","Cyganiewicz","R",2002
"State Representative District 43","Rangel","D",2002
"State Representative District 58","Kauffman","D",2002
"State Representative District 58","Wohlgemuth","R",2002
"US Representative District 27","Ahumada","R",2002
"US Representative District 27","Ortiz","D",2002
"State Representative District 18","Ellis","D",2002
"State Representative District 18","Shauberger","R",2002
"State Representative District 123","Barger","R",2002
"State Representative District 123","Villarreal","D",2002
"State Representative District 117","Mercer","R",2002
"State Representative District 117","Prado","D",2002
"State Representative District 125","Balido","R",2002
"State Representative District 125","Castro","D",2002
"State Representative District 84","Guerrero","D",2002
"State Representative District 84","Isett","R",2002
"State Representative District 56","Getterman","R",2002
"State Representative District 56","Mabry","D",2002
"State Representative District 1","Teafatiller","R",2002
"State Representative District 1","Telford","D",2002
"State Representative District 72","Campbell","R",2002
"State Representative District 72","Slone","D",2002
"State Representative District 87","Quackenbsh","D",2002
