"master_key","cntyvtd","county"
"n3950023","3950023","Robertson"
"n4392318","4392318","Tarrant"
"n4393654","4393654","Tarrant"
"n1350207","1350207","Ector"
"n1850009","1850009","Grimes"
"n2010921","2010921","Harris"
"n2010089","2010089","Harris"
"n2010086","2010086","Harris"
"n2030002","2030002","Harrison"
"n291120","291120","Bexar"
"n1132102","1132102","Dallas"
"n1131061","1131061","Dallas"
"n1134536","1134536","Dallas"
"n1133307","1133307","Dallas"
"n1214199","1214199","Denton"
"n4392742","4392742","Tarrant"
"n4530192","4530192","Travis"
"n4630007","4630007","Uvalde"
"n4850101","4850101","Wichita"
"n2010775","2010775","Harris"
"n2010481","2010481","Harris"
"n3390018","3390018","Montgomery"
"n3790203","3790203","Rains"
"n4394485","4394485","Tarrant"
"n4391473","4391473","Tarrant"
"n1410057","1410057","El Paso"
"n1572070","1572070","Fort Bend"
"n1571013","1571013","Fort Bend"
"n1670434","1670434","Galveston"
"n1890306","1890306","Hale"
"n2010235","2010235","Harris"
"n293165","293165","Bexar"
"n291023","291023","Bexar"
"n293001","293001","Bexar"
"n37008A","37008A","Bowie"
"n410078","410078","Brazos"
"n850138","850138","Collin"
"n4790274","4790274","Webb"
"n4910209","4910209","Williamson"
"n2150128","2150128","Hidalgo"
"n2210216","2210216","Hood"
"n2750302","2750302","Knox"
"n3290403","3290403","Midland"
"n4530386A","4530386A","Travis"
"n4530171","4530171","Travis"
"n1134110","1134110","Dallas"
"n1132076","1132076","Dallas"
"n2010964","2010964","Harris"
"n2011130","2011130","Harris"
"n2010467","2010467","Harris"
"n2010633","2010633","Harris"
"n270419","270419","Bell"
"n294103","294103","Bexar"
"n293142","293142","Bexar"
"n410055","410055","Brazos"
"n590008","590008","Callahan"
"n850115","850115","Collin"
"n4530363","4530363","Travis"
"n4910163","4910163","Williamson"
"n4970005","4970005","Wise"
"n3550082","3550082","Nueces"
"n3670310","3670310","Parker"
"n4170303","4170303","Shackelford"
"n4230023","4230023","Smith"
"n4391184","4391184","Tarrant"
"n4393732","4393732","Tarrant"
"n910204","910204","Comal"
"n2010987","2010987","Harris"
"n2150151","2150151","Hidalgo"
"n2510042","2510042","Johnson"
"n3090066","3090066","Mclennan"
"n3310318","3310318","Milam"
"n50031","50031","Angelina"
"n294080","294080","Bexar"
"n1133040","1133040","Dallas"
"n1134517","1134517","Dallas"
"n1131329","1131329","Dallas"
"n1214215","1214215","Denton"
"n4910491","4910491","Williamson"
"n3090088","3090088","Mclennan"
"n3490104","3490104","Navarro"
"n3970003","3970003","Rockwall"
"n4210202","4210202","Sherman"
"n4391105","4391105","Tarrant"
"n4394534","4394534","Tarrant"
"n1410163","1410163","El Paso"
"n1610006B","1610006B","Freestone"
"n1870415","1870415","Guadalupe"
"n2010255","2010255","Harris"
"n2090316","2090316","Hays"
"n2450030","2450030","Jefferson"
"n90007","90007","Archer"
"n292001","292001","Bexar"
"n292123","292123","Bexar"
"n37001A","37001A","Bowie"
"n390013","390013","Brazoria"
"n1134147","1134147","Dallas"
"n4530137","4530137","Travis"
"n4630001","4630001","Uvalde"
"n3030022","3030022","Lubbock"
"n3490402","3490402","Navarro"
"n391003A","391003A","Refugio"
"n4394456","4394456","Tarrant"
"n4392027","4392027","Tarrant"
"n4392546","4392546","Tarrant"
"n1131176","1131176","Dallas"
"n1214193","1214193","Denton"
"n1650002","1650002","Gaines"
"n2010610","2010610","Harris"
"n2090422","2090422","Hays"
"n2170012","2170012","Hill"
"n292024","292024","Bexar"
"n610026","610026","Cameron"
"n930004","930004","Comanche"
"n1131142","1131142","Dallas"
"n1133500","1133500","Dallas"
"n4490001","4490001","Titus"
"n4910149","4910149","Williamson"
"n2010107","2010107","Harris"
"n2010022","2010022","Harris"
"n2011102","2011102","Harris"
"n2010853","2010853","Harris"
"n3650005","3650005","Panola"
"n397003AA","397003AA","Rockwall"
"n294118","294118","Bexar"
"n291052","291052","Bexar"
"n291101","291101","Bexar"
"n291137","291137","Bexar"
"n550301","550301","Caldwell"
"n910308","910308","Comal"
"n4391382","4391382","Tarrant"
"n4550002","4550002","Trinity"
"n4590002","4590002","Upshur"
"n4970020","4970020","Wise"
"n2010462","2010462","Harris"
"n2010499","2010499","Harris"
"n2650404","2650404","Kerr"
"n2730044","2730044","Kleberg"
"n3690301","3690301","Parmer"
"n4391241","4391241","Tarrant"
"n990102","990102","Coryell"
"n1110002","1110002","Dallam"
"n1213132","1213132","Denton"
"n149201E","149201E","Fayette"
"n1571146","1571146","Fort Bend"
"n2011039","2011039","Harris"
"n293180","293180","Bexar"
"n294224","294224","Bexar"
"n292124","292124","Bexar"
"n410092","410092","Brazos"
"n1134041","1134041","Dallas"
"n1211026","1211026","Denton"
"n3450003","3450003","Motley"
"n3610023","3610023","Orange"
"n3910003","3910003","Refugio"
"n4230055","4230055","Smith"
"n4730418","4730418","Waller"
"n4910258","4910258","Williamson"
"n1310008","1310008","Duval"
"n1410135","1410135","El Paso"
"n2010896","2010896","Harris"
"n2010648","2010648","Harris"
"n2011145","2011145","Harris"
"n2150060","2150060","Hidalgo"
"n293033","293033","Bexar"
"n390065","390065","Brazoria"
"n390022","390022","Brazoria"
"n850047","850047","Collin"
"n1134506","1134506","Dallas"
"n1391045","1391045","Ellis"
"n4790416","4790416","Webb"
"n4790453","4790453","Webb"
"n2090252","2090252","Hays"
"n2410001","2410001","Jasper"
"n3550020","3550020","Nueces"
"n3550014","3550014","Nueces"
"n4110001","4110001","San Saba"
"n411004B","411004B","San Saba"
"n1410029","1410029","El Paso"
"n1670143","1670143","Galveston"
"n2010747","2010747","Harris"
"n2010753","2010753","Harris"
"n2090450A","2090450A","Hays"
"n2090443","2090443","Hays"
"n270410","270410","Bell"
"n292081","292081","Bexar"
"n490215","490215","Brown"
"n730024","730024","Cherokee"
"n1132608","1132608","Dallas"
"n1133981","1133981","Dallas"
"n3150004","3150004","Marion"
"n3390086","3390086","Montgomery"
"n4310002A","4310002A","Sterling"
"n4391821","4391821","Tarrant"
"n4530357","4530357","Travis"
"n4690030","4690030","Victoria"
"n1410178","1410178","El Paso"
"n1573138","1573138","Fort Bend"
"n2010605","2010605","Harris"
"n2010356","2010356","Harris"
"n2150103","2150103","Hidalgo"
"n2270025","2270025","Howard"
"n294075","294075","Bexar"
"n291095","291095","Bexar"
"n610015","610015","Cameron"
"n97001C","97001C","Cooke"
"n1133072","1133072","Dallas"
"n1213126","1213126","Denton"
"n4910486","4910486","Williamson"
"n4970028","4970028","Wise"
"n3290308","3290308","Midland"
"n3670440","3670440","Parker"
"n4394130","4394130","Tarrant"
"n4391208","4391208","Tarrant"
"n4530482","4530482","Travis"
"n4590008","4590008","Upshur"
"n1490315","1490315","Fayette"
"n1870409","1870409","Guadalupe"
"n2010456","2010456","Harris"
"n2010996","2010996","Harris"
"n2150203","2150203","Hidalgo"
"n2650215","2650215","Kerr"
"n293108","293108","Bexar"
"n310302","310302","Blanco"
"n550111","550111","Caldwell"
"n850079","850079","Collin"
"n1134046","1134046","Dallas"
"n1131059","1131059","Dallas"
"n4910468","4910468","Williamson"
"n2310213","2310213","Hunt"
"n2630301","2630301","Kent"
"n3050002","3050002","Lynn"
"n3390051","3390051","Montgomery"
"n4530324","4530324","Travis"
"n475004M","475004M","Ward"
"n1132406","1132406","Dallas"
"n1212112","1212112","Denton"
"n2010408","2010408","Harris"
"n2011071","2011071","Harris"
"n2010739","2010739","Harris"
"n2150069","2150069","Hidalgo"
"n570006","570006","Calhoun"
"n850102","850102","Collin"
"n1134070","1134070","Dallas"
"n1131090","1131090","Dallas"
"n1132515","1132515","Dallas"
"n1213135","1213135","Denton"
"n2011048","2011048","Harris"
"n2150046","2150046","Hidalgo"
"n2270409","2270409","Howard"
"n2591110","2591110","Kendall"
"n4930313","4930313","Wilson"
"n1410078","1410078","El Paso"
"n1573102","1573102","Fort Bend"
"n1690005","1690005","Garza"
"n2010716","2010716","Harris"
"n2010385","2010385","Harris"
"n2010053","2010053","Harris"
"n213020","213020","Bastrop"
"n292084","292084","Bexar"
"n1134094","1134094","Dallas"
"n1131114","1131114","Dallas"
"n1132802","1132802","Dallas"
"n1213158","1213158","Denton"
"n4710101","4710101","Walker"
"n4910367","4910367","Williamson"
"n3550049","3550049","Nueces"
"n3850003","3850003","Real"
"n4330003","4330003","Stonewall"
"n4394250","4394250","Tarrant"
"n4392413","4392413","Tarrant"
"n4530252","4530252","Travis"
"n2011025","2011025","Harris"
"n2010193","2010193","Harris"
"n2010031","2010031","Harris"
"n2010693","2010693","Harris"
"n2010362","2010362","Harris"
"n2150023","2150023","Hidalgo"
"n1370001","1370001","Edwards"
"n1410101","1410101","El Paso"
"n1470016","1470016","Fannin"
"n1573158","1573158","Fort Bend"
"n1670439","1670439","Galveston"
"n1870123","1870123","Guadalupe"
"n1134120","1134120","Dallas"
"n1134664","1134664","Dallas"
"n1133201","1133201","Dallas"
"n1214180","1214180","Denton"
"n1350302","1350302","Ector"
"n1410124","1410124","El Paso"
"n4394371","4394371","Tarrant"
"n4530290","4530290","Travis"
"n4730104","4730104","Waller"
"n4910409","4910409","Williamson"
"n2010008","2010008","Harris"
"n2010879","2010879","Harris"
"n2010548","2010548","Harris"
"n2010671","2010671","Harris"
"n2090103","2090103","Hays"
"n4392506","4392506","Tarrant"
"n1450103","1450103","Falls"
"n1574073A","1574073A","Fort Bend"
"n1670371","1670371","Galveston"
"n1870217","1870217","Guadalupe"
"n2010339","2010339","Harris"
"n2010216","2010216","Harris"
"n270207","270207","Bell"
"n294064","294064","Bexar"
"n670018","670018","Cass"
"n850248","850248","Collin"
"n11330T6","11330T6","Dallas"
"n1330005","1330005","Eastland"
"n2910022","2910022","Liberty"
"n3550003","3550003","Nueces"
"n4190006","4190006","Shelby"
"n4230061","4230061","Smith"
"n4393566","4393566","Tarrant"
"n4570008","4570008","Tyler"
"n1670223","1670223","Galveston"
"n1870310","1870310","Guadalupe"
"n2010571","2010571","Harris"
"n2090216","2090216","Hays"
"n2150238","2150238","Hidalgo"
"n2450088","2450088","Jefferson"
"n250019","250019","Bee"
"n294041","294041","Bexar"
"n291061","291061","Bexar"
"n390077","390077","Brazoria"
"n850225","850225","Collin"
"n1133081","1133081","Dallas"
"n4550005","4550005","Trinity"
"n4550011","4550011","Trinity"
"n3410402","3410402","Moore"
"n3550026","3550026","Nueces"
"n4150006","4150006","Scurry"
"n4270008","4270008","Starr"
"n4394162","4394162","Tarrant"
"n4393471","4393471","Tarrant"
"n1270003","1270003","Dimmit"
"n2010594","2010594","Harris"
"n2090332","2090332","Hays"
"n2490002","2490002","Jim Wells"
"n2930402","2930402","Limestone"
"n3270002","3270002","Menard"
"n294187","294187","Bexar"
"n291084","291084","Bexar"
"n292090","292090","Bexar"
"n390054","390054","Brazoria"
"n730036","730036","Cherokee"
"n850202","850202","Collin"
"n3390095","3390095","Montgomery"
"n3830002","3830002","Reagan"
"n4090115","4090115","San Patricio"
"n4393372","4393372","Tarrant"
"n2090430","2090430","Hays"
"n2150192","2150192","Hidalgo"
"n2510004","2510004","Johnson"
"n2730031","2730031","Kleberg"
"n2850416","2850416","Lavaca"
"n3290206","3290206","Midland"
"n1133058","1133058","Dallas"
"n1132044","1132044","Dallas"
"n1170001","1170001","Deaf Smith"
"n1470009","1470009","Fannin"
"n2010199","2010199","Harris"
"n2010862","2010862","Harris"
"n270314","270314","Bell"
"n294210","294210","Bexar"
"n294087","294087","Bexar"
"n291107","291107","Bexar"
"n292067","292067","Bexar"
"n390031","390031","Brazoria"
"n3390073","3390073","Montgomery"
"n3510012","3510012","Newton"
"n38713-4","38713-4","Red River"
"n4070003","4070003","San Jacinto"
"n4392467","4392467","Tarrant"
"n2150215","2150215","Hidalgo"
"n2150092","2150092","Hidalgo"
"n2510026","2510026","Johnson"
"n2670001","2670001","Kimble"
"n2890007","2890007","Leon"
"n3290410","3290410","Midland"
"n710011","710011","Chambers"
"n850179","850179","Collin"
"n850056","850056","Collin"
"n1132018","1132018","Dallas"
"n1132225","1132225","Dallas"
"n2010885","2010885","Harris"
"n150310","150310","Austin"
"n291123","291123","Bexar"
"n292045","292045","Bexar"
"n293102","293102","Bexar"
"n1133702","1133702","Dallas"
"n1410061","1410061","El Paso"
"n4393200","4393200","Tarrant"
"n4790361","4790361","Webb"
"n3330008","3330008","Mills"
"n3390057","3390057","Montgomery"
"n3550089","3550089","Nueces"
"n4394480","4394480","Tarrant"
"n4391345","4391345","Tarrant"
"n4392557","4392557","Tarrant"
"n1573049","1573049","Fort Bend"
"n1571063","1571063","Fort Bend"
"n1730003","1730003","Glasscock"
"n2010733","2010733","Harris"
"n2010816","2010816","Harris"
"n2010485","2010485","Harris"
"n50039","50039","Angelina"
"n350008","350008","Bosque"
"n550405","550405","Caldwell"
"n930009","930009","Comanche"
"n1211012","1211012","Denton"
"n1391014","1391014","Ellis"
"n4770410","4770410","Washington"
"n2593030","2593030","Kendall"
"n3610009","3610009","Orange"
"n397001BA","397001BA","Rockwall"
"n4010201","4010201","Rusk"
"n4391111","4391111","Tarrant"
"n4530344","4530344","Travis"
"n1850015","1850015","Grimes"
"n2010047","2010047","Harris"
"n2010176","2010176","Harris"
"n2030006","2030006","Harrison"
"n2150169","2150169","Hidalgo"
"n229001W","229001W","Hudspeth"
"n294193","294193","Bexar"
"n1050004","1050004","Crockett"
"n1132148","1132148","Dallas"
"n1410015","1410015","El Paso"
"n2010779","2010779","Harris"
"n2011111","2011111","Harris"
"n4910181","4910181","Williamson"
"n4970009","4970009","Wise"
"n2730013","2730013","Kleberg"
"n3090025","3090025","Mclennan"
"n4393390","4393390","Tarrant"
"n4394650","4394650","Tarrant"
"n4392755","4392755","Tarrant"
"n4850105","4850105","Wichita"
"n10021","10021","Anderson"
"n1134025","1134025","Dallas"
"n1212095","1212095","Denton"
"n1410001","1410001","El Paso"
"n1810310","1810310","Grayson"
"n2010093","2010093","Harris"
"n4530437","4530437","Travis"
"n4790308","4790308","Webb"
"n2010425","2010425","Harris"
"n2010130","2010130","Harris"
"n2150086","2150086","Hidalgo"
"n4070009","4070009","San Jacinto"
"n4430004A","4430004A","Terrell"
"n4530122","4530122","Travis"
"n294147","294147","Bexar"
"n410016","410016","Brazos"
"n690105","690105","Castro"
"n850165","850165","Collin"
"n1134633","1134633","Dallas"
"n1214197","1214197","Denton"
"n3790101","3790101","Rains"
"n4170406A","4170406A","Shackelford"
"n4391639","4391639","Tarrant"
"n4530201","4530201","Travis"
"n4870021","4870021","Wilbarger"
"n1990010","1990010","Hardin"
"n2010239","2010239","Harris"
"n213003N","213003N","Henderson"
"n2150232","2150232","Hidalgo"
"n2450094","2450094","Jefferson"
"n2773H3C","2773H3C","Lamar"
"n294047","294047","Bexar"
"n291067","291067","Bexar"
"n292107","292107","Bexar"
"n850016","850016","Collin"
"n1133044","1133044","Dallas"
"n1131728","1131728","Dallas"
"n3290101","3290101","Midland"
"n3410101","3410101","Moore"
"n3670215","3670215","Parker"
"n4392316","4392316","Tarrant"
"n4510144","4510144","Tom Green"
"n4910319","4910319","Williamson"
"n1410207","1410207","El Paso"
"n1610006C","1610006C","Freestone"
"n2010925","2010925","Harris"
"n2010631","2010631","Harris"
"n2150132","2150132","Hidalgo"
"n2930301","2930301","Limestone"
"n214026","214026","Bastrop"
"n292008","292008","Bexar"
"n293062","293062","Bexar"
"n410062","410062","Brazos"
"n610087","610087","Cameron"
"n850119","850119","Collin"
"n3390016","3390016","Montgomery"
"n3550043","3550043","Nueces"
"n4230024","4230024","Smith"
"n2011080","2011080","Harris"
"n2010660","2010660","Harris"
"n212012","212012","Bastrop"
"n294010","294010","Bexar"
"n293051","293051","Bexar"
"n293094","293094","Bexar"
"n410005","410005","Brazos"
"n490101","490101","Brown"
"n4850404","4850404","Wichita"
"n4910332","4910332","Williamson"
"n3090017","3090017","Mclennan"
"n3550032","3550032","Nueces"
"n3630026","3630026","Palo Pinto"
"n4270014","4270014","Starr"
"n4530238","4530238","Travis"
"n4810301","4810301","Wharton"
"n530013","530013","Burnet"
"n850231","850231","Collin"
"n1134622","1134622","Dallas"
"n1410047","1410047","El Paso"
"n1410211B","1410211B","El Paso"
"n1810409","1810409","Grayson"
"n292093","292093","Bexar"
"n293074","293074","Bexar"
"n510203","510203","Burleson"
"n610099","610099","Cameron"
"n1134008","1134008","Dallas"
"n1133317","1133317","Dallas"
"n4850205","4850205","Wichita"
"n317004A","317004A","Martin"
"n3550055","3550055","Nueces"
"n4391504","4391504","Tarrant"
"n4392055","4392055","Tarrant"
"n4490020","4490020","Titus"
"n4710203","4710203","Walker"
"n1410190","1410190","El Paso"
"n1670483","1670483","Galveston"
"n2010368","2010368","Harris"
"n2010540","2010540","Harris"
"n2270103","2270103","Howard"
"n2450060","2450060","Jefferson"
"n292116","292116","Bexar"
"n610076","610076","Cameron"
"n1134031","1134031","Dallas"
"n1131407","1131407","Dallas"
"n1131047","1131047","Dallas"
"n1133207","1133207","Dallas"
"n4391436","4391436","Tarrant"
"n4394399","4394399","Tarrant"
"n4392220","4392220","Tarrant"
"n4450301","4450301","Terry"
"n4730210","4730210","Waller"
"n1350308","1350308","Ector"
"n2010517","2010517","Harris"
"n2011057","2011057","Harris"
"n2030015","2030015","Harrison"
"n229004S","229004S","Hudspeth"
"n3750424","3750424","Potter"
"n190102","190102","Bandera"
"n294073","294073","Bexar"
"n291135","291135","Bexar"
"n293031","293031","Bexar"
"n390020","390020","Brazoria"
"n550206","550206","Caldwell"
"n4790414","4790414","Webb"
"n4910484","4910484","Williamson"
"n2090228","2090228","Hays"
"n2150158","2150158","Hidalgo"
"n2310321","2310321","Hunt"
"n2550002","2550002","Karnes"
"n4530212","4530212","Travis"
"n4570018","4570018","Tyler"
"n850002","850002","Collin"
"n870202","870202","Collingsworth"
"n2010497","2010497","Harris"
"n2010248","2010248","Harris"
"n2010994","2010994","Harris"
"n2010745","2010745","Harris"
"n293137","293137","Bexar"
"n293172","293172","Bexar"
"n410048","410048","Brazos"
"n410085","410085","Brazos"
"n1132523","1132523","Dallas"
"n1134673","1134673","Dallas"
"n4910146","4910146","Williamson"
"n3110004","3110004","Mcmullen"
"n3550111","3550111","Nueces"
"n4230053","4230053","Smith"
"n4393166","4393166","Tarrant"
"n4530355","4530355","Travis"
"n4910245","4910245","Williamson"
"n1410133","1410133","El Paso"
"n1710005","1710005","Gillespie"
"n2010888","2010888","Harris"
"n2010851","2010851","Harris"
"n2150052","2150052","Hidalgo"
"n2150015","2150015","Hidalgo"
"n10008","10008","Anderson"
"n10903-5","10903-5","Culberson"
"n1132053","1132053","Dallas"
"n1214166","1214166","Denton"
"n1212081","1212081","Denton"
"n1370004","1370004","Edwards"
"n3750121","3750121","Potter"
"n397004F","397004F","Rockwall"
"n4090124","4090124","San Patricio"
"n4394006","4394006","Tarrant"
"n4490014","4490014","Titus"
"n1410027","1410027","El Paso"
"n1870203","1870203","Guadalupe"
"n2010119","2010119","Harris"
"n2730042","2730042","Kleberg"
"n3030109","3030109","Lubbock"
"n3650026","3650026","Panola"
"n294179","294179","Bexar"
"n294216","294216","Bexar"
"n1131099","1131099","Dallas"
"n1133609","1133609","Dallas"
"n1133965","1133965","Dallas"
"n1573020","1573020","Fort Bend"
"n3390043D","3390043D","Montgomery"
"n4391605","4391605","Tarrant"
"n4391738","4391738","Tarrant"
"n4410102","4410102","Taylor"
"n1573126","1573126","Fort Bend"
